77,Birch,821275,Örnsköldsvik
56,Eydie,621060,Kujang-ŭp
58,Miguelita,109200,Rio Pardo
57,Tamiko,747599,Stockholm
56,Harley,832004,Motegi
7,Charlot,98680,Bitam
12,Thaddus,920027,Marquard
64,Kial,377204,Talas
40,Ella,954145,Yélimané
48,Jabez,869161,Dulolong
42,Ripley,810103,Masaran
35,Judith,776843,Hekou
37,Samuel,312634,Shimokizukuri
90,Frankie,77370,Kericho
23,Mareah,418769,Kuching
68,Mickey,514683,Suntar
30,Doug,559704,Poretskoye
86,Crissy,467356,Glondong
4,Aubrette,882660,Dolisie
33,Garrett,611592,Santo Isidro
38,Maxy,420105,Chepes
65,Kimberlyn,816553,Zeewolde
85,Kati,850182,Extremoz
67,Wake,659603,Mombetsu
74,Marwin,195312,Pengjia Zhaizi
94,Everard,300607,Berovo
93,Deloria,499053,Bojonggaling
32,Issie,625096,Korkino
10,Lissy,938890,Juan de Acosta
37,Rosamund,573771,Áno Kómi
73,Blisse,44546,Khodzhi-Gasan
60,Filia,415325,Toyohashi
50,Zondra,793587,Tanakbeak Daye
41,Hollis,406875,Culacling
48,Gun,717246,Bijela
28,Anabel,413382,Long Xuyên
80,Lenka,503117,Pargas
73,Ring,140011,Amadeo
23,Kania,911195,Banān
77,Gayleen,679099,Andahuaylillas
38,Karlen,579611,Hengli
85,Lani,479693,Congonhas
28,Reggie,483027,Chengji
23,Cacilie,704829,Kaoma
63,Claudie,537375,San Francisco
44,Kesley,127778,Holoubkov
17,Donnajean,132370,Varberg
71,Dawn,90763,Wuli
60,Gilberto,893080,Taipingguan
1,Hollyanne,219470,Jinquan
10,Jeanine,748217,Ibrā’
5,Madelon,237436,Tabunok
84,Alida,104646,Vargön
74,Lea,286415,Alegria
42,Marie-jeanne,617777,‘Izrā
31,Shandie,324187,Jeseník
25,Yule,216273,Zyryanovsk
33,Giustino,634022,Sovetskoye
4,Kellia,499056,Shiree
77,Bliss,286593,Rameshki
19,Alice,893224,Upton
33,Geoffrey,458853,Tumen
42,Drusilla,797000,Lemahputih
62,Ban,204985,Nova Viçosa
72,Gunilla,453614,Ferraz de Vasconcelos
39,Flint,334206,Novopokrovka
